autoBlockSize,elapsed,MEM_max,MEM_mean,CPU_mean
67108864,0:13:31,11.64,10.89,3.21
134217728,0:07:16,11.41,10.73,3.24
268435456,0:03:32,11.41,10.84,3.21
536870912,0:01:58,11.31,10.72,3.25
1073741824,0:01:09,11.35,10.68,3.18
2147483648,0:00:46,11.16,10.46,3.23
