ncpus,elapsed,MEM_max,MEM_mean,CPU_max,CPU_mean
2,0:00:36,14.49,11.83,15,7.22
4,0:00:19,20.42,16.16,20,19.55
6,0:00:21,25.24,19.63,35,28.05
8,0:00:23,32.22,23.83,45,37.04
10,0:00:23,37.13,27.08,60,47.04
12,0:00:26,42.21,28.63,60,50.81
