ncpus,elapsed,MEM_max,MEM_mean,CPU_mean
2,0:00:36,14.59,12.02,4.08
4,0:00:18,20.65,16.36,10.36
6,0:00:19,26.51,20.31,14.95
8,0:00:21,32.43,24.33,20.18
10,0:00:19,38.25,28.06,24
12,0:00:20,43.09,31.23,29.09
