autoBlockSize,elapsed,MEM_max,MEM_mean,CPU_max,CPU_mean
67108864,1:55:11,13.82,12.55,20,5.45
134217728,0:58:14,13.88,12.36,18,5.46
268435456,0:28:39,13.49,12.43,20,5.45
536870912,0:14:33,13.17,12.22,17,5.46
1073741824,0:07:25,13.49,12.39,17,5.44
2147483648,0:04:13,12.92,12.08,15,5.50
